2012-01|7	25	6	3.65	0.75	3.33	0.24	0.86	0.38
2012-02|6	21	3	3.39	0.74	3.33	0.14	0.50	0.22
2012-03|5	27	2	3.14	0.71	6.50	0.07	0.40	0.12
2012-04|6	17	4	3.51	0.76	4.50	0.24	0.67	0.35
2012-05|16	61	13	3.52	0.73	2.62	0.21	0.81	0.34
2012-06|11	40	6	3.17	0.72	2.17	0.15	0.55	0.24
2012-07|3	25	1	2.92	0.74	4.00	0.04	0.33	0.07
2012-08|3	18	1	3.62	0.72	6.00	0.06	0.33	0.10
2012-09|1	13	0	0.00	0.74	0.00	0.00	0.00	0.00
2012-10|6	19	4	3.57	0.73	2.50	0.21	0.67	0.32
2012-11|7	27	5	3.25	0.70	3.80	0.19	0.71	0.29
2012-12|11	30	6	3.34	0.72	4.50	0.20	0.55	0.29
2013-01|5	55	5	2.73	0.71	5.40	0.09	1.00	0.17
2013-02|9	36	5	3.15	0.72	5.00	0.14	0.56	0.22
2013-03|5	20	1	3.05	0.72	8.00	0.05	0.20	0.08
2013-04|16	45	12	2.68	0.74	6.42	0.27	0.75	0.39
summary|117	479	80	3.21	0.73	4.41	0.17	0.68	0.27
