2012-01|7	25	6	3.33	0.75	3.33	0.24	0.86	0.38
2012-02|6	21	2	2.89	0.73	4.50	0.10	0.33	0.15
2012-03|5	27	0	0.00	0.69	0.00	0.00	0.00	0.00
2012-04|6	17	3	3.11	0.76	4.33	0.18	0.50	0.26
2012-05|16	61	12	3.22	0.73	2.25	0.20	0.75	0.31
2012-06|11	40	5	3.02	0.72	1.80	0.12	0.45	0.20
2012-07|3	25	1	2.44	0.74	4.00	0.04	0.33	0.07
2012-08|3	18	1	2.67	0.72	6.00	0.06	0.33	0.10
2012-09|1	13	0	0.00	0.74	0.00	0.00	0.00	0.00
2012-10|6	19	4	3.33	0.73	2.50	0.21	0.67	0.32
2012-11|7	27	4	2.89	0.69	3.00	0.15	0.57	0.24
2012-12|11	30	4	3.06	0.71	4.00	0.13	0.36	0.20
2013-01|5	55	3	2.74	0.71	3.67	0.05	0.60	0.10
2013-02|9	36	4	3.22	0.71	3.25	0.11	0.44	0.18
2013-03|5	20	0	0.00	0.71	0.00	0.00	0.00	0.00
2013-04|16	45	3	3.26	0.72	1.67	0.07	0.19	0.10
summary|117	479	54	3.12	0.72	2.98	0.11	0.46	0.18
