2012-01|7	25	5	3.47	0.75	3.20	0.20	0.71	0.31
2012-02|6	21	1	3.56	0.72	8.00	0.05	0.17	0.07
2012-03|5	27	0	0.00	0.69	0.00	0.00	0.00	0.00
2012-04|6	17	1	4.00	0.74	5.00	0.06	0.17	0.09
2012-05|16	61	9	3.36	0.72	2.00	0.15	0.56	0.23
2012-06|11	40	5	2.76	0.72	1.80	0.12	0.45	0.20
2012-07|3	25	1	1.78	0.74	4.00	0.04	0.33	0.07
2012-08|3	18	0	0.00	0.71	0.00	0.00	0.00	0.00
2012-09|1	13	0	0.00	0.74	0.00	0.00	0.00	0.00
2012-10|6	19	3	3.70	0.72	3.00	0.16	0.50	0.24
2012-11|7	27	3	2.96	0.69	2.67	0.11	0.43	0.18
2012-12|11	30	2	3.33	0.70	4.00	0.07	0.18	0.10
2013-01|5	55	2	2.89	0.71	2.50	0.04	0.40	0.07
2013-02|9	36	4	2.89	0.71	3.25	0.11	0.44	0.18
2013-03|5	20	0	0.00	0.71	0.00	0.00	0.00	0.00
2013-04|16	45	3	2.81	0.72	1.67	0.07	0.19	0.10
summary|117	479	41	3.15	0.72	2.78	0.09	0.35	0.14
