2012-01|7	25	6	3.56	0.75	3.33	0.24	0.86	0.38
2012-02|6	21	3	3.15	0.74	3.33	0.14	0.50	0.22
2012-03|5	27	1	3.00	0.70	1.00	0.04	0.20	0.06
2012-04|6	17	4	3.22	0.76	4.50	0.24	0.67	0.35
2012-05|16	61	13	3.38	0.73	2.62	0.21	0.81	0.34
2012-06|11	40	6	3.06	0.72	2.17	0.15	0.55	0.24
2012-07|3	25	1	2.78	0.74	4.00	0.04	0.33	0.07
2012-08|3	18	1	3.33	0.72	6.00	0.06	0.33	0.10
2012-09|1	13	0	0.00	0.74	0.00	0.00	0.00	0.00
2012-10|6	19	4	3.50	0.73	2.50	0.21	0.67	0.32
2012-11|7	27	5	3.02	0.70	3.80	0.19	0.71	0.29
2012-12|11	30	5	3.22	0.71	3.40	0.17	0.45	0.24
2013-01|5	55	4	3.06	0.71	3.75	0.07	0.80	0.13
2013-02|9	36	4	3.39	0.71	3.25	0.11	0.44	0.18
2013-03|5	20	0	0.00	0.71	0.00	0.00	0.00	0.00
2013-04|16	45	6	3.04	0.72	3.33	0.13	0.38	0.20
summary|117	479	68	3.21	0.72	3.25	0.14	0.58	0.23
