2012-01|7	22	2	2.89	0.75	2.50	0.09	0.29	0.14
2012-02|6	8	1	4.00	0.75	3.00	0.12	0.17	0.14
2012-03|5	11	0	0.00	0.75	0.00	0.00	0.00	0.00
2012-04|6	8	1	2.67	0.75	2.00	0.12	0.17	0.14
2012-05|16	9	1	3.11	0.75	3.00	0.11	0.06	0.08
2012-06|11	17	1	2.22	0.75	4.00	0.06	0.09	0.07
2012-07|3	21	0	0.00	0.75	0.00	0.00	0.00	0.00
2012-08|3	18	0	0.00	0.75	0.00	0.00	0.00	0.00
2012-09|1	22	0	0.00	0.75	0.00	0.00	0.00	0.00
2012-10|6	15	0	0.00	0.75	0.00	0.00	0.00	0.00
2012-11|7	7	1	1.78	0.75	2.00	0.14	0.14	0.14
2012-12|11	16	3	3.11	0.75	2.67	0.19	0.27	0.22
2013-01|5	15	0	0.00	0.75	0.00	0.00	0.00	0.00
2013-02|9	18	2	2.67	0.75	2.50	0.11	0.22	0.15
2013-03|5	18	1	3.56	0.75	3.00	0.06	0.20	0.09
2013-04|16	15	2	2.44	0.75	3.00	0.13	0.12	0.13
summary|117	240	15	2.84	0.75	2.73	0.06	0.13	0.08
